iso_code,first_letter,date,indicator,value,indicator_name
Uganda,U,18-May-22,Total Tests,2681702,Total Tests
Zambia,Z,16-May-22,Total Tests,3454966,Total Tests
Zimbabwe,Z,18-May-22,Total Tests,2295541,Total Tests
Algeria,A,01-May-22,Total Vaccinations,15205854,Total Vaccinations
Angola,A,26-Apr-22,Total Vaccinations,17896626,Total Vaccinations
Benin,B,08-May-22,Total Vaccinations,3333450,Total Vaccinations
Botswana,B,08-May-22,Total Vaccinations,1920000,Total Vaccinations
Burkina Faso,B,08-May-22,Total Vaccinations,2928989,Total Vaccinations
Burundi,B,08-May-22,Total Vaccinations,12651,Total Vaccinations
C.A.R,C,01-May-22,Total Vaccinations,1037580,Total Vaccinations
Cameroon,C,26-Apr-22,Total Vaccinations,1828882,Total Vaccinations
